SKU,angro-offseason,angro-inseason,end-price-offseason,end-price,end-price-inseason
EM G0144,22,24.78,35,59,44
EM G0311,22,24.78,35,59,44
EM G0142,33,37.38,53,89,67
EM G0317,26,28.98,41,69,52
EM G0317,26,28.98,41,69,52
EM G0314,30,33.18,47,79,59
EM G0315,26,28.98,41,69,52
EM G05116,52,58.38,83,139,104
EM G05121,48,54.18,77,129,97
EM G05113,48,54.18,77,129,97
EM G0141,33,37.38,53,89,67
EM G0143,33,37.38,53,89,67
EM G05115,48,54.18,77,129,97
EM G0209,33,37.38,53,89,67
EM G0723,52,58.38,83,139,104
EM G0723,52,58.38,83,139,104
G0207,33,37.38,53,89,67
EM G0210,33,37.38,53,89,67
EM G0725,48,54.18,77,129,97
EM G0724,52,58.38,83,139,104
EM G0319,30,33.18,47,79,59
EM G0450,26,28.98,41,69,52
EM G0449,26,28.98,41,69,52
EM G0617,78,87.78,125,209,157
EM G0619,93,104.58,149,249,187
EM G0616,71,79.38,113,189,142
EM G0621,41,45.78,65,109,82
EM G0612,71,79.38,113,189,142
EM G0321,33,37.38,53,89,67
EM G0321,33,37.38,53,89,67
EM G0723,52,58.38,83,139,104
EM G0723,52,58.38,83,139,104
EM G0723,52,58.38,83,139,104
EM G0723,52,58.38,83,139,104
EM G0320,30,33.18,47,79,59
EM G0320,30,33.18,47,79,59
EM G0320,30,33.18,47,79,59
EM G0320,30,33.18,47,79,59
EM G0320,30,33.18,47,79,59
EM G0620,30,33.18,47,79,59
EM G0148,22,24.78,35,59,44
EM G0451,15,16.38,23,39,29
EM G0447,30,33.18,47,79,59
EM G0146,22,24.78,35,59,44
EM G0150,22,24.78,35,59,44
EM G0453,22,24.78,35,59,44
EM G0455,15,16.38,23,39,29
EM G0456,33,37.38,53,89,67
EM G0457,33,37.38,53,89,67
EM G0457,33,37.38,53,89,67
EM G0457,33,37.38,53,89,67
EM G0321,33,37.38,53,89,67
EM G0157,37,41.58,59,99,74
EM G0157,37,41.58,59,99,74
EM G0000,18,20.58,29,49,37
EM G0000,18,20.58,29,49,37
EM G0000,18,20.58,29,49,37
EM G0000,18,20.58,29,49,37
EM G0000,18,20.58,29,49,37
EM G0000,18,20.58,29,49,37
EM G0427,15,16.38,23,39,29
EM G0427,15,16.38,23,39,29
EM G0427,15,16.38,23,39,29
EM G0427,15,16.38,23,39,29
EM G0427,15,16.38,23,39,29
EM G0427,15,16.38,23,39,29
EM G0427,15,16.38,23,39,29
EM G0312,26,28.98,41,69,52
