SKU,angro-offseason,angro-inseason,end-price-offseason,end-price,end-price-inseason
EM G0494,22,30,43,72,54
EM G0186,26,37,52,87,65
EM G0183-1,20,27,39,65,49
EM G0183-2,20,27,39,65,49
EM G0158-6,26,36,51,85,64
EM G0158-4,26,36,51,85,64
EM G0191-1,26,36,51,85,64
EM G0191-2,26,36,51,85,64
EM G0191-3,26,36,51,85,64
EM G0191-4,26,36,51,85,64
EM G0191-5,26,36,51,85,64
EM G0191-6,26,36,51,85,64
EM G0354-1,27,37,53,89,67
EM G0354-2,27,37,53,89,67
EM G0354-3,27,37,53,89,67
EM G0331-2,29,40,58,96,72
EM G0331-3,29,40,58,96,72
EM G0331-4,29,40,58,96,72
EM G0432-1-1,20,28,40,67,50
EM G0432-1-2,20,28,40,67,50
EM G0432-1-3,20,28,40,67,50
EM G0432-1-4,20,28,40,67,50
EM G0766,41,57,81,135,101
EM G0766-1,41,57,81,135,101
EM G0233,35,48,69,115,86
EM G0233-1,35,48,69,115,86
EM G0725-1,40,56,80,133,100
EM G0725-2,39,54,77,129,97
EM G0772,44,61,87,145,109
EM G04120-1,29,41,58,97,73
EM G04120-2,29,41,58,97,73
EM G04120-3,29,41,58,97,73
EM G04120-4,29,41,58,97,73
EM G04120-5,29,41,58,97,73
EM G0192-1,28,39,56,94,71
EM G0192-2,28,39,56,94,71
EM G0192-3,28,39,56,94,71
EM G0192-4,28,39,56,94,71
EM G0192-5,28,39,56,94,71
EM G04123-1,10,19,19,32,24
EM G04123-2,10,19,19,32,24
EM G04123-3,10,19,19,32,24
EM G04123-4,10,19,19,32,24
EM G04123-5,10,19,19,32,24
EM G04123-6,10,19,19,32,24
EM G04123-7,10,19,19,32,24
EM G0124-1,21,33,42,70,53
EM G0124-2,21,33,42,70,53
EM G0124-3,21,33,42,70,53
EM G0101-1,15,32,30,50,38
EM G0101-2,15,32,30,50,38
EM G0101-3,15,32,30,50,38
EM G0827-1,21,33,42,70,53
EM G0102-1,15,32,30,50,38
EM G0827-2,21,33,42,70,53
EM G0102-2,15,32,30,50,38
EM G05219-4,48,67,95,159,119
EM G05219-5,48,67,95,159,119
EM G05219-6,48,67,95,159,119
EM G05201,42,58,83,139,104
EM G05232,42,58,83,139,104
EM G05204-1,39,54,77,129,97
EM G05204-2,39,54,77,129,97
EM G05204-3,39,54,77,129,97
EM G05230-1,48,67,95,159,119
EM G05230-2,48,67,95,159,119
EM G05230-3,48,67,95,159,119
EM G05230-4,48,67,95,159,119
EM G05223,41,57,81,135,101
EM G05219,45,63,89,149,112
EM G05233-1,42,58,83,139,104
EM G05233-2,42,58,83,139,104
EM G05233-3,42,58,83,139,104
EM G05233-4,42,58,83,139,104
EM G05233-5,42,58,83,139,104
EM G05233-6,42,58,83,139,104
EM G05233-7,42,58,83,139,104
EM G05233-8,42,58,83,139,104
EM G05170-6,45,63,89,149,112
EM G05170-7,45,63,89,149,112
EM G05241,48,67,95,159,119
EM G05239-1,48,67,95,159,119
EM G05239-2,48,67,95,159,119
EM G05227-1,45,63,89,149,112
EM G05227-2,45,63,89,149,112
EM G05227-3,45,63,89,149,112
EM G05227-4,45,63,89,149,112
EM G05227-5,45,63,89,149,112
EM G05227-6,45,63,89,149,112
EM G05228-1,45,63,89,149,112
EM G05228-2,45,63,89,149,112
EM G05228-3,45,63,89,149,112
EM G05228-4,45,63,89,149,112
EM G05228-5,45,63,89,149,112
EM G05228-6,45,63,89,149,112
EM G04117-1,21,29,41,69,52
EM G04117-2,21,29,41,69,52
EM G04117-3,21,29,41,69,52
EM G04118-1,24,33,47,79,59
EM G04118-2,24,33,47,79,59
EM G04118-3,24,33,47,79,59
EM G0198-1,51,71,101,169,127
EM G0198-2,51,71,101,169,127
EM G0198-3,51,71,101,169,127
EM G01109-1,33,43,83,139,104
EM G01109-2,33,43,83,139,104
EM G01109-3,33,43,83,139,104
EM G01109-4,33,43,83,139,104
EM G01109-5,33,43,83,139,104
EM G0828-1,33,46,65,109,82
EM G0828-2,33,46,65,109,82
EM G0828-3,33,46,65,109,82
EM G0828-4,33,46,65,109,82
EM G0828-5,33,46,65,109,82
EM G0347,28,36,56,93,70
EM G0477-1,32,45,64,107,80
EM G05248,42,58,83,139,104
EM G0770,44,67,87,145,109
EM G04114,24,33,47,79,59
EM G04114-2,24,33,47,79,59
EM G04114-3,24,33,47,79,59
EM G04114-4,24,33,47,79,59
EM G04114-5,24,33,47,79,59
EM G04114-6,24,33,47,79,59
EM G04114-7,24,33,47,79,59
EM G05171,36,50,71,119,89
EM G0426,19,25,38,64,48
EM G04119,29,41,58,97,73
EM G05238-1,39,54,77,129,97
EM G05238-2,39,54,77,129,97
EM G0,0,0,0,0,0
EM G0,0,0,0,0,0
EM G0,0,0,0,0,0
EM G0,0,0,0,0,0
EM G1,0,0,1,1,1
